but, i finally noticed it	気づけば いつのまにか
i got caught running your setup, being your bait.	君の計画のえさでありながら、君の計画が分かった
yeah, i heard the news reports about doctor eldridge.	エルドリッジ先生の事ですね
cut him down.	彼を降ろして
that's why you ran away?	だから 逃げているのか?
and they thought about it and they said	考えてから答えました
called the islamic league for world peace.	平和イスラム同盟という
can they track that?	それも探知できるの?
you have to take an element of those things	そういう曲から ある要素を選んで
the western guard room.	− 西の警備室に行く
i ran the compound through an fda database.	照合してみます
hey, leave him alone. george has had his revenge on mr. denton hot coffee in the lap.	ジョージが熱いコーヒーを ひっかけて復讐を
it isn't, gin.	ひどいよ 銀ちゃん!! うわぁ~~っ!!
hey, i am so sorry.	ところで、パーティの招待
we also got a perp who took two center mass.	犯人は 胸に2発撃ちこんでいる
sounds really complicated.	なんかすごく複雑じゃねぇ
where you can see sirius	シリウスが あれだから
hello mother, hello mother.	ハロー アメリカだぞ
it's a bit strange but...	ちょっと変わったところがありますけど。
homeboy!	そうだ!
xrays are on the board.	x線画像 出来ました
hasegawasan, i caught a nice shikao suga.	長谷川さん いいスガシカオが 手に入った。
there's also the fact that i had to acquire some kind skill	親子2人が 食いっぱぐれないためには
that's a good point.	いい案だな そこがあんたが行く理由だ
we're almost done.	ほぼ終わりました
anyway, in 1992	1992年に
i'm not so sure.	僕にはわかりません
brad.	ブラット
one is to deliver extrinsic motivation	一つは外発的動機を与えることです
he was struggling to explain something to me:	彼が一生懸命 説明していたのは
get in there!	そこよ!
to the agricultural plot by reducing those chemicals.	改善することを目指しています
was in 2007.	行ったものです
and i mean literally, you're surrounded by painted curtains	壁に描かれたカーテンに 文字通り 囲まれます
please.	目を開けて
yeah, no problem. i'm blake, by the way.	気にしないで、 私はブレイクよ
by the way, this video is pretty accurate of how the landing took place, you know	ところで このビデオは4年前の着陸時の 様子をとても正確に表現しています
show that guy the power of you and astral!	お前とアストラルの力を ヤツに見せてやれ。
if the queen sees i can have joffrey's children now...	王妃に知られたらジョフリーの子を産まされる
merle, come on.	弟よ! こい!
that helps people understand and solve complex problems	シンプルなデザイン練習課題に 出会いました
[guitar]	すごく良くできた作品だ。
and that is	"「といっても それは」"
so is it a pro wrestling? i will keep going on	それでプロレスなのか? いいから続けるぞ
neiman.	ニーマン
so every time you got on the subway you'd be passing a different poster	地下鉄に乗るたびに違うポスターに出会い
yeah but you have no skills i told you, i can totally be a lawyer you get the job, were celebrating after ok ahaa, and if i dont get the job...	特に技術は無いだろ 俺は法律家に向いてるんだ 仕事を決めたら 後で お祝いだ
go take it outside.	持って出て下さい
it's more complicated than that.	現状はもっと複雑なんだよ
sorry, i can't. you know i can't.	悪いが無理だ わかっているだろ
those guys we took it from	お金を取ったその人達は --
want this, chief?	署長、これは?
if we're taught as leaders to just manage what we can measure	リーダー達が「測れる」ものだけを管理し
drop this subject!	誘拐犯になってもらう って はあッ?
i know a kid who would love that board.	そのボードが好きな子がいるんだ
that's very intricate and it works.	複雑ですが うまくいってます
what are you saying?	ヘヘヘ...。 強がり言いやがって。
progress we can only watch.	今は 経過を見守るしかない といった状態です。
why not.	"何故なの"
i'm already awake!	酔いは覚めてるぜ!
of the global population to ever be in slavery.	奴隷の割合は今が最も低いのです
these data were collected over a really long period of time	集められた事を ここにいる 男性に思い出して欲しいのです
everything is fine with me.	どんな事でも構わない。
you fucking man enough?	さあ! - お前は根性なしだ
i tried to set up this pulley all morning, but it didn't work.	プーリーに挑戦した 午前中ずっと でも動かない
and of course, i suppose like recreational parks you can still do that.	もちろん楽しんだりする場も用意できると思います。
that china has a militarized regime	大兵力を動員する気満々だと
have lawton and the others prepped for surgery.	ロートンと他の人に 手術の準備をさせて
hello, hajime?	もしもし 肇
kyouchan is really intimidating!	杏ちゃん 凄い迫力なの
has it been worth it yet? why are you doing this?	(君が戻って嬉しいよ) (満足してくれたかな?
empty it.	見せて下さい
not to mention the armenians.	アルメニア人は言うまでもなく
but... what was that voice i heard just now?	でも 先聞こえたのって何だったの
who would marry you?	誰と結婚する?
bring tomato samples tsunoda's hall.	角田さん ホールトマトのサンプル持ってきて。
this is in the former soviet union	アラル海があるのは
there's no way it would be here, right. yeah, but	こっちに あるわけないでしょう。 いや。 でもさ➡
you're sexy too, today. it's about an open feeling	今日も一段と セクスィ~ですねえ
may be it's something!	それとも何かの事かも
the seller, kurasan, said it was perfect for me, so he gave me a discount.	特別 格安で 譲ってくれたんだ。
this sector navigator facilitates wholesystemthinking, that recognizes, that actions in one area impact all the others.	この、セクターナビゲーターは位置分野での行動が、 全てに影響するというシステム全体思考を助けるものです。
who are you? don't lie to me. what?	あなたは 誰なの?
if you think that 25 million people are infected	2500万人が感染しているという知識があっても
and it's predicting some very serious scenarios	また我が国などには 極めて重大なことが起きると
elias, let's make a deal.	イライアス、相談よ
let's see...	返しましょう
protruding districts like shiganshina that are located at key points along the wall	壁の要所要所にある シガンシナのように突出した地区は
his name was sven karlsen. he died at sea.	氏名はスベン・カルセン 航海中に海で死んだ
can we just forget about it, please?	このことは忘れて ね お願い
the first controlled airship on air in paris for a million people to see.	パリで百万人の人々の前で 飛行してみせたのです
i was thinking of trying it.	それを試そうと思ってたんだけど。
now he developed his social and moral compass	彼の社会的 倫理的な価値観は
then these strange objects started falling from it.	そしたら この 不思議な物体が 落ち始めて...。
we've had friends of christ for the last 8.	このコミュニティで8年
ah, there it is. thank you!	おお~ きたnありがとう
is equal to 10 dollars of crack cocaine or weed.	クラックやコカインなどヤクの10ドルと 同等なのです
well, if gardner left his house in the last 24 hours we would have something.	24時間以内なら 手がかりがある筈だが
stop thinking about you was because i didn't want to.	自分の気持を 閉じ込めてたからよ
so... scholarship?	だから・・・ - 支援?
you wanna be the boss?	お前がボスというわけか?
those who think there will be success, just because they entered todai	てめえが東大行ったってだけで 人生成功したと思ってるやつら
hyperintelligent?	ハイパー知的?
let's pray this limbo is short lived.	こんな酷い状態が 長く続かないよう祈るよ
who do you want to marry?	お前 誰と結婚したい?
at the starry sky above and the moral law within.	我はこの二つに畏敬の念を抱いてやまない」 カントの教えです
call the cops!	警察を呼べ!
yes swine is okay	はい スインは大丈夫です
sheeni will have to come back to ukiah.	シー二が帰ってくるんだ。
i need water!	水飲みたい!
you'll have to go through the muscle tissue, so you have to go deeper.	次は筋組織を切る より深く
i'm guessing you'd often see each other at the reception area....	じゃ 受付で顔を合わすうちに
is your husband home?	ダンナは家か?
it's not for sale.	売り物じゃない
that means...	どういう意味?
open the cybercasket!	開け 電気柩
maybe glenn, merle himself.	たぶんリックは メルルの弟やグレン
yeah, i read it on your explorer's cub journal here, right?	そのクラブの雑誌を 読んだから
good day, lady olenna.	それでは、オレナ公女
and indiana jones' stuff.	インディジョーンズの専門分野もね
it's happened once or twice.	一、二度は
you called me at home to talk.	お話でしたら ご自宅まで お伺いしましたのに。
what are you doing?!	なっ? なっ?
they've found johnson's car.	ジョンソンの車が見つかった
right now, your father's working, your sister's studying at school	お父さんは今 仕事をしている お姉ちゃんは学校で勉強してる
from the front, you'll notice those two passengers	前から見ると その両脇に座る乗客にとって
six consecutive life terms, okay?	6回の無期懲役?
what're you talking about?	話雖如此 該說什麼好呢
no, no, no. why don't we pour our own drinks here?	ああ いやいや 南極では手酌にしませんか?
if the machine had been working properly, we might have gotten a number for the real alan fahey and saved him.	マシンが きちんと動いていたら 本物のアラン・フェイヒーの 番号が上がったかもしれない 彼を救えた
so you haven't been with anyone else in all those years?	その間 ずっと浮気はせず?
i'm not happy with it, but if i make the wrong decision, millions could be affected.	嬉しくないし 悪い決定だったかも しれないけど 何百万人にも影響が及ぶの
i've gotta go to work.	仕事に行かないと
ah! that's right...	あっ! そういえば...➡
look...	見てくれ。
your name is james buchanan barnes.	君の名は ジェームズ·ブキャナンバーンズ。
when asked what it was like to be president of france.	フランス大統領の仕事について
welcome. welcome.	いらっしゃいませ。 いらっしゃいませ。
that's not true.	真是的 突然就「空间转移」
what's wrong?	タ... タロウ! ど... どうしたあるか!?
excuse me.	すみません 少し考えさせて下さい
there's no mistake.	時間はない。
crystal clear!	間違いないねん!
you really went out with this guy?	本当にこいつと 外出したの?
well, let's do this.	下手をすれば 守るべき自分の星ですら➡
remember.	覚えて・・・覚えておいて下さい
she's not a smoker. no other signs of tobacco in the whole apartment.	簡単だ 彼女は煙草を吸わない 部屋のどこにも
it's a pleasure to meet you.	よろしぐ。 よろしぐ。
you want your car washed?	車を洗うか?
i could've ended this anytime i wanted, you know. i could've made this go away months ago.	誰のために 闘ってると思う?
you see this right here?	これは...
working in the plane will put your health at risk	気圧の変化に 左右されやすい 飛行機の中の お仕事は➡
so i will do anything later.	だから あとで いくらでも どなられてやるよ。
dead! fitz! what...	ああ、なんてこと、これは・・・
come on, lois. when are you gonna throw me a bone?	なあ ルイス チャンスをくれよ
[arden] she's right, you know.	彼女が正しいよ
no way!	嘘!...まさか!
to uncover new remains of a bizarre, giant predatory dinosaur	発掘するためです それはとても奇妙で巨大な肉食恐竜 ―
and very large prints	とても大きな用紙を使って
banging on the door, and saying, look guys	ドアを叩き、「みんな聞いてくれ、僕にはやっぱり
hey rock doctor shepherd	やぁ ロックさん - シェパード医師
i'm sorry for the senseless act of graffiti. that's all.	馬鹿げた落書きをしたことは 謝ります
i helped trained a generation of people to throw themselves into the grinder.	俺は何人も訓練したが
not out. up.	出るんじゃない 登るんだ
he lost his job because of us.	彼が仕事を失くしたのは 私達のせいなんだから
prospera: i will plague them all, even to roaring.	プロスペラ:三人とも地獄の底まで苦しめてやる
and we divided them up into three groups.	子供を3グループに分けました
does it feel alright?	気持ちはいいかな?
i'm talking to you. hurry up.	お前だよ 早くしろ。
our communication and, if we let the google guys	グーグル社の社員たちに聞けば
sit down. read something.	座ってなにか読んでなさい
whoever remembers the second man on the moon anyway?	"2 番目の月着陸なんて 誰が憶えてる?"
let's go quick before i change my mind.	早く行こう 俺の気が変わる前に
itmust be here somewhere.	きっとどこかにあるよ
but today, it goes beyond that.	しかし今日ではそれ以上です
oh no... i'm just stand around here	いや つったってるだけさ
the phones are not working in variani.	電話がバリアニでは通じない
don't say that!	俺の代で閉めることに...。 言うなちゃ!
it surprised me since he looked so similar to her.	びっくりしちゃった。
did they send you? you have a russian hit team closing in, which leaves us with approximately five seconds before you need to make a decision.	すぐそこまで来てる 5秒で決めてくれ
talk to your friends so they know it's you. talk to your friends.	お仲間と話すんだ
but i'm sure he'd be happy to see you.	君に会うのが 楽しみになるだろうな
come on, e on. what are we doing?	いい子だ 頼むぞ
are you sure?	いつも振り向いて確かめる
it is the corner of mr. chanko.	チャンコさん この角です。
go to strange lands, eat crazy food.	知らない土地に行って 変な物を食べるの
you need to treat the parents as a proper teacher.	保護者の方には 教師らしく 毅然と対応してくださいね。
see ya. aerial drone engaged.	またな 無線偵察機は稼働
no, you don't get to ask me fucking questions.	くだらない質問はやめて
wait, wait.	えっと カバンを
it is i who am the super saiyan among super saiyans!	俺こそ超サイヤ人の中の 超サイヤ人なのだ。➡
yes. kathy was all wrapped up in alan.	ごめんだ 俺は運にかける
you... god, you smell like beer.	ビール臭いわ
i'll tell you.	ビキには教えてあげるね
hello, this is momoko? how's mom?	もしもし 桃子です。 どう? お母さん。
she gave it to me as a gift.	彼女贈り物としてそれを私に与えた
maybe we ought to go to florian's. that's the last place velma worked.	フローリアンへ行こう ヴェルマが働いてた店だ
one man or the entire mob? he can wait.	単独か 集団にせよ また起こす
wait a moment please	ま・・待ってください
um, i asked you about irene yesterday.	昨日 アイリーンのことを あなたに尋ねたでしょ
if you let me see it, i'll look the other way this one time.	見せてくれたら 今回は目をつぶります。
hi, adam.	アダム
i'll be there soon.	そろそろ行く時間なのかもな
do you know how phantom books are born?	あなた 幻書がどうやって生まれたか知ってる?
and i know who killed those boys.	少年を殺した奴だ
it didn't eat all weekend.	週末は飢えてたはず
and sources of exchange and new meanings.	新しい意味の創生と交換の源となることが証明されています
that's because he knew.	彼は知ってたからよ
i shot them.	女の人の頭を 撃ち抜いたの
i'm in the middle of something.	手が離せないだ
well, boys, i fixed your tire.	タイヤが直ったぞ
right now we've got a phrase, the water is warm.	「水が温かい」と言う文だ。
blore.	ブロアだ
it really takes it out of me.	消耗する
she'd want all of this to end!	彼女が望んでるのは、 この全てが終わることだよ!
usually a few seconds, but with the backward way they have the system set up, it's gonna take at least a few minutes.	普通なら数秒だけど 数分はかかりそうね
but ultimately we knock them down.	最終的には 問題を 片づけてしまうのです
there are times when i thought i couldn't do it	もう無理かなって 何回も思ったけど
i want to see him.	彼に会いたいの
the phone was set to turn itself on, send the text, and then immediately turn itself off so we couldn't trace it.	メールを送った後すぐに 電源が切れたから かなり機器に詳しい人の犯行だ
your mom and i are a little worried about you.	俺も少し心配してる
because he looked familiar,and... yeah,this is definitely him.	さっきは違うと どこかで見た気が... 絶対 この人よ
it's the key to his heart.	彼の心の鍵なの
for instance .. laughter.	例えば... 笑って。
no...	(六坂)いやいや... 。
so here's a shape. i actually spent about a year in my home	これが例です 実は家で一年くらい下着のまま
philip won't want to leave the house.	フィルが外に出るわけないわ ママ フィルは・・
the body is okay? yes.	体は平気? はい。
shh... shh... you're not gonna die. shh... shh...	あなたは死にませんよ
listen up!	聞け!
my heart was shaking, and it still is the same.	心が震えました 今もです
he's searching the building now.	彼は今建物を探している
most locks.	ロックは変えられた
we got your lab results back today, ethan.	今日 あなたの実験結果を 渡された イーサン
sorry, i had to go.	ゴメン 行かなきゃ
of the effectiveness of this kind of comedy.	立証されている番組です
what's the best for me my life from now on?	これから私は どうやって生きたらいいのよ。
directed by! how can i do here?	監督! ここは どうやれば いいですか?
i, as any good liberal, try to fight for first	善良なリベラル派として私がまず
bg: ok, so you're basically saying in the book and now	ギウサーニ:あなたは著書 とこの場において こう主張されていますね
hirai, please stand.	平井君 立って
you were so still, i never even heard you there.	あなたがいたなんて 気づかなかった
it appears that way.	そのうちわかるさ
i don't wanna talk about it. i'm sorry.	その件はもう無しね 悪いけど
no no no!	イヤよ 放して!
what you should be measuring or what you should be quantifying.	数値化の対象を設定するのが とても難しいですから
i came to find something that belongs to me.	忘れものをとりにきたの
are you mr...	あなたは...
no ... no, it is not that different, mr. sakura? hmm? hmm?	いやいや... 違う 違うんです。n佐倉先生? ん? ん?
wild bill?	ワイルド・ビル?
the breaker box blew out. the what?	ブレイカーが破裂して
while the ufv was informing us of the situation...	UAVをもう1本あげとけ
and it was pretty apparent why.	理由は はっきりしています
victor. we've gotta get it back.	ビクター、 我々は取り戻さなければならない
what are you doing?!	君はここで神聖な仕事をしているんだよ カール
from what their coach said, that's problematic. i know, but	子供たちも困るがやないかな。 そうなんだけど
like bert told you, bert the turtle.	もし爆発付近にいた場合 何かの下に隠れてください
i didn't cry.	それは ないわ。 なくないです。
the other of a single silk thread.	もう一方は一本の絹の糸から作られています
the next blood that spills is gonna be theirs.	次に血を流すのは彼等よ
like painted shards of glass.	色のついたガラスの破片の様に。
so how did it go with your parents?	ご両親は何て?
in fact, this week is my core week.	そうそう、コア週間なの
so, here you can see her moving her eyes around, moving her mouth around.	彼女が目や口を動かしている写真が並んでいます
and then i think i'm going to get the first train back tomorrow.	明日の始発列車で 帰ろうと思う
why does father make my future a mess!?	なんで お父さんは 僕の将来 めちゃくちゃにするんだよ!
in this particular case, he's talking about drone strikes.	ここで彼は無人爆撃について語っています
won't say no.	ミディアムの上に卵か?
shtt, freddy.	静かに
huh?	海燕... 殿!
the goal is to protect biodiversity	私たちのゴールは生物の多様性を維持し
what are you saying, gohankun!?	人間とは そういうものだ〉
you both suck.	2人とも最低よ
and they took to the streets	民衆の前で
that she will be involved in...	<ドラマのような事件に>
the reputation in desert of this small water body is	砂漠にあるこの小さい貯水池が
rock and a hard place.	板挟み状態
so, how is it? do you feel like giving me your money?	おい どうだ? 先生に お金を出す気にはなったか?
last year in my school.	高校を卒業しました
go check it out.	行って確認してこい
did we do it?	しやがって...
i even spotted a few good voices.	いくつか良い声にも気づいた
since the beginning.	始まったときから
we can ask this of our friends.	みんなにお願いしましょう
a violinist?	バイオリニスト? うん。
if this is a date, thenputting aside that fake date	もしこれがデートならば あの偽のデートを除いたら
you never told me what caused your accident.	事故の原因は?
what do we do with sound image?	りっちゃん どうしよう 夏期講習って
just imagine what that would be like.	どんな世界か想像してみてください
how could you possibly understand that your childhood had to be sacrificed for something greater?	お前には決して理解できまい お前の子供時代を より偉大なもののために... 犠牲にせざるを得なかったと
[whispers] yeah.	そか
i only know them from films and comics. they're different.	映画とか漫画の中の話っていうか。 違うんです。
so what...?	なん
and that has all sorts of advantages.	これにはあらゆる利点があります
yes. draw me like a handsome person.	うん。 男前に 描いてくれたらな。
what the hell was that?!	なんてこった...。 全員 竜宮城に行く船 壊されて➡
move them back to the south side.	南側へ移動させるんだ 急げ!
there's only one thing he's after.	理由は一つしか 考えられない
you know sometimes i wonder what my life would have been like.	時々 あの時あなたに見つかっていなかったら
you get to help them while looking into our latest number.	最新の番号を調べてる間 彼らを助ける事になる
hey hey	えいえい
i expected you to be a little more useful.	もう少し武装する必要がある。
i'd say his credits transfer.	彼の威光を伝えるしかないでしょう
a man's destiny is often not what it seems.	男の運命は 必ずしもそうとは限らん
good to know.	覚えておくわ
what, are you going nicholson on us?	ニコルソンにでもなるのか?
what is that!?	カウントはツースリー。➡
rat, i'm serious!	ネズミ!僕は 本気で...
so unless there's something else, agent lisbon	では リズボン捜査官 他に何もなければ
the amazon's a big forest	アマゾンは大きな森で
you look a little bit dizzy, eh?	めまいか?
when running up the stairs, for example?	階段を駆け上がった時とか? そういうんじゃなくて。
now that i transcend both hollows and soul reapers	ホロウも死神も超越した私の放つ
and that's supposed to help me how?	それがどうした?
hayden that's her name she's insisting i come out to boston.	ヘイデン(愛人) 彼女の名前だ ボストンに来いと言ってる
jesus christ.	まったく!
you couldn't wait ten seconds?	10秒も待てないの? 10秒も?
there's something wrong with this waterfall.	何かおかしくないか
and go into the box?	箱の中に入るのかな?
she's wanted for murder, conspiracy, kidnapping, and weapons violation.	彼女は 殺人の共同謀議 誘拐 武器暴行で 指名手配されている
you beter run, you litle punk nogoodniks!	逃げたほうがましだぞ
911, what's your emergency?	911, 緊急ですか?
if it looks like you're going to get a serious offer before you hear from me, let me know.	こっちから 連絡する前に ─ 深刻な問題があったら ─ 私に連絡を
well then, i will.	エヘ...。 お前 食べちゃおう。
we understand.	よくわかります
what's up with that?	何があった?
captain jonathan archer. welcome aboard.	船長のアーチャーです ようこそ Captain Jonathan Archer.
oh, not at all.	見つめないで
guess what.	シルバが身元を 偽っていたことがわかった
this bag too. is that right?	この袋も。 そうか。
and in the state of mind that i was in...	91年マサチューセッツ州は親切にも
there's a saying that goes, yesterday's rival is today's friend.	「昨日の敵は 今日の友」っていう 言葉もあるわ。
what what happened?	何があったの?
where does this ladder go?	このはしごはどこへ 通じているの?
about a year ago...	約1年前
originally created for use in night vision goggles.	元々は暗視ゴーグルに 使われていたものです
maybe 40,000 pages of regulations, total complexity	複雑すぎて 4万ページもの規定は
that have very different ideas about what clean means.	「きれい」ということについて随分違った考えを持っています
scythe vs ehome	サイス VS イーホーム
i'm a watcher.	私はウオッチャーだ。
it was great.	いい日だった
do you feel nauseous?	吐き気は どう?
you look so, uh... [footsteps]	すごく...
these are all real examples	いずれも実際の事例です
we're getting the same ping off the transponder. range 30 meters.	我々も受信している 範囲は30m
like i said, we're from out of town.	ーいや、違う町に住んでいる
do not move from this spot.	この場を動くなよ。
that's the struggle, that's depression	私が戦っているもので 鬱なんです
had relations with, uh...it...hasn't ended well.	良い形で終わらなかった
got to have patience.	我慢してね
this is a man in his 20s	この男性は悪性腫瘍を抱え
he didn't leave the city walls until he died.	そして殉死されるまで、 あの城壁の前から離れられなかった
in the world will be $200,000.	一人当たりのGDPは20万ドルになります
and it used 218 kilos of fuel	燃料を218キロ使い
this is what i need. what technology is available to solve this problem?	これが私が必要としていること では どんな技術で問題解決ができるのだろうか-
or europeanborn american fashion designer	ヨーロッパ生まれのアメリカ人 ファッションデザイナー
hey, do your folks ever ask you for money for some stupidass shit they dreamed up that you think is crazy?	バカげたことに使う金を せびってくる母親はいる?
if kadar would help provide power to the city, manchester would make sure he gets everything he needs, he wouldn't have to leave his power plant.	アーサーは物資を 届けると約束した
you throw a pretty good line for a guy who's out of practice.	腕がなまってるにしちゃ 気の利いたセリフを言うじゃない
not to mention, the strongest heap of hardware	言うまでもなく ハードウェアの最強ヒープ
we'll follow up on the corporate holdings and the prostitution connections while the lab processes the apartment.	アパートにラボが 件さを行いながら 私達が 企業の株と 娼婦との繋がりを探る
for quite a sum.	金の為にね
now, after admonishing us for turning the temperature up too high	ポリプは 温暖化に苦言を呈してから
there. yeah.	そう、そこ
to live a normal life. listen to me!	−普通の生活ができるように...
see you there!	お前みたいなクズが
i see what's going on.	ははーん そうか
your mr. jane was questioning prison transport drivers.	君のところのジェーンさんが 刑務所の護送運転手を尋問していたね
whatever you're doing with will graham, stop.	ウィルに特別な事は― すべきじゃないわ
what?!	な...な...何ぞ
i have 100,000 men at my command.	10万の兵が私の指揮下にある
tess would know, she would have told me...	テスが俺に話したはずだ
in 1996.	この1996年にも
isn't it because you were old acquaintances?	ケガされた方も いらっしゃるんだから。
you're looking for john?	まだジョンを探してるの?
with the clay. for example, in this case, rna, shown in red	例えば 赤で示すrnaが集まります
give it back. well, i stole it.	返せ - 盗んだものは
start your own insurance company.	あなた自身が 保険に入るんです
or a flag stands for the united states, it's a symbol of the country	旗が国のシンボルとしてアメリカを表したりしますが -
you've finally come to realize how wonderful glasses are!	美月 ついにメガネの素晴らしさに目覚めたんだな
he was in saudi arabia doing offthebooks work for an american oil company.	[彼は アメリカの石油会社の 帳簿外の仕事をしに] [サウジアラビアに行っていた]
the overall trend	全体的な傾向は―
we'll find it. good hunting.	分かってます 少佐 見つけてきます
no, it's good.	心配するな
the idea that only people who are doing something wrong	隠すべきことがあって
we recruit.	人を集めて
so miss, you too, will encounter many good things as long as you keep living!	だから おねえさんも生きてれば 必ず いい事が ありますよ。 ねっ。
increased acceleration toward the object.	速度加速中
just in case.	万が一のためだ
you can't stop the drug trade, but you can tax it.	麻薬取引はとめられないが 課税する事はできる 課税?
but fear not.	心配するな
thank you so much.	分かったから そんなに こっち見んな
at protecting our data.	明らかにすることで
to make a life for you and tandy	君とタンディの為に
he's away on a consultation in gotham.	戻るときは私に電話が入る
l want to eat you as you eat.	せっかくの共喰いをよ
next time.	次の約束
i mean, i know people. they're just assholes i stay alive with.	まあ知り合いはいるが そいつらはマジでクソだ
well, changing one's direction, a fresh start. paris will not run away.	まあ 心機一転 出直すんだな。 パリは逃げやしねえ。
and not just hundreds of thousands, but tens of millions.	何十万ドルじゃなく 数千万ドル
where's the justice in you who steals cup ramen!?	人のカップラーメンを盗む奴の どこが正義だ!
i baked this cake. tada!	ケーキ焼きました ジャーン
we can help poor families build a better future.	貧しい家庭が よりよい未来を 築くのを手助けできます
ah! wait! wait!	ちょっと待って! ちょっと待って!!
what are you doing?	バキッ! でやっ!
you had a dog. a real tough dog.	私には難しいぞ
navigation officer, did yamato plan hq name it balun?	その名は ヤマト!
i do computer music.	コンピュータ音楽です
born in odessa, ukraine in 1982.	1982年ウクライナ オデッサ生まれ
come on...	本当なの?
and you would, you know, when you think about it	考えてみると つまりは
in the meantime, we owe it to ourselves not to panic.	今は私達の為にも 冷静に行動しないと
please stop troubling me.	私を困らせないでほしい
what about the antidote?	何ですって?
excellent.	将軍. .
what's up? coming all the way here.	どうしたんですか? こんなとこまで
that was danielle.	ダニエルよ
i owe you this one	これは貴方からの借りです
god damn, i like your style, hiroshi.	気に入ったぜ ヒロシ
senator van horn's office.	ヴァン ホーン上院議員の事務所からです
absolutely.	これは絶対だが
ladies and gentlemen, if i can have your attention.	みなさん 聞いて下さい
you know, we all have secrets, junior.	誰でも秘密は持っているわ ジュニア
that these things [use] to communicate with each other.	探査車同士での通信も可能となります
the camera's ready.	カメラの準備 OK 【ハイパースペクトル撮影】
and see that there are some problems in the tradition	より都市的で中流階級の信心深いムスリム達がいるのです。
you don't know, do you?	わからないんですね?
i'm gonna be dead?	俺は死んでるってことじゃないか?
yes it is yes it is	はい そうです- はい そうです
detcord... i never leave home without it.	起爆ワイヤ 出かける時は忘れずに
i may switch you to zoloft.	薬を"ゾロフト"に
i wanted to find out what actually matters most	事業の新規立ち上げにとって 最も重要なのは何かを
like you wanted me callin'me all the time like blondie thank you.	ありがとう
what's going on?	床上的
no, of course not.	もちろん違うんだろう
[enough is enough.] [the wrong item was delivered earlier...]	《いいかげんにしてよね》 《前にも違う物が届い...》
first of all, i've reached out, but i know that your brother is ignoring me because of that incident.	まず 近づく でも 君の兄貴がその事件のせいで 俺を無視してるのは知ってる
it appears on a key fob that the owner carries.	オーナーがいつも持ってるキー・フォブに 表示される
then, i would've gotten you that kind of story.	うん~ 何だかのんきな話だなぁ
it was locked this morning.	ゲートは 今朝は カギが閉まってたけどね
who were able to defraud the poor, pitiful banks	金銭的な知識に乏しい 貧しい人達や
this patient is director's special patient.	あのね この患者様 院長の特患なんですよ。
he's your doctor.	あなたの医者よ
inside!	中よ
