it's suliban.	スリバン人です
for today, these two girls are for me.	とりあえず今日は これとこれ もらってくから
after all, this place has nothing to do with us.	ここは私達と全然関係ないところなんだって
absolutely.	勿論
'dear sir, it's been a month now since i started working.	<「前略 ごめんください。 働き始めて 今日で1か月です。➡
and imagine copying that by hand.	それを手で書き写す
that two out of three exoffenders reoffend	出所5年以内に 再び罪を犯すと聞いても
we'll find out what amanda's up to.	アマンダの企みは 見つけ出す
it would be cheaper to buy a new pair.	アカンわ 新品のほうが安上がりや。
from secondhand smoke in the workplace.	危険がないと証明するためのものでした
where is she?	どこへ?
i would start covering my hair.	トルコのステレオタイプは
then a prawn shrimp .what is then what is kora !!	じゃあ 「車海老」。 じゃあって 何だよ コラ~!!
what? you said that we couldn't make it on your salary alone.	えっ? 姉ちゃんの給料だけじゃ 無理って言っただろ。
well, a trailer burns at about 700 degrees, so i'd say about a quart and a half of this stuff should do the trick.	このトレーラーは 約700度で燃えてる 4分の3は収集できそうだ ちょっと待て
who...who said that?	誰が喋った?
i promise i'll explain everything to you ok, one day.	私は、 okあなたにすべてのもの、1日に説明しますと約束。
that's a relief...	あっ 煮卵!
that's a big problem.	これは大きな問題です
yeah, brother.	ああ 兄弟
in case it's space invaders i just thought of something...	もしインベダーが いるなら...
the victim in the rain.	雨の中の犠牲者
the future is unknown, the future is uncertain	未来のことは分からず 不確かですが
i don't give a shit. i'll go to the police, the mp, the papers...	警察・mp・新聞・・・ どこにでも行く
where i became a tour guide.	ツアーガイドになりました
so, what are you going to do, nagisa?	どうするの、りえちゃん?
wait. we haven't established comms here.	待って まだ通信出来てないわ
l need you to check the inventory.	在庫を確認してくれ
i won't enter the umbrella.	25点かな。 2...!?
isn't it funny if a guy who was ready to be framed	罪 かぶってまで あそこ 守ろうとしたやつが
you can call your sister.	妹に電話していいよ
what's more, it tells you immediately that	それに加えて リードの存在が
it's very beneficial in terms of the efficiency of communicating information;	情報交換の効率面に貢献して
like i said, you are not getting me out of this cell!	言ったように、君は私 を牢屋から出せないんだ
why is that?	なんで なんでだよ
i really appreciate it.	本当に感謝してる
remember?	テロリストたちは
a wrench?	レンチ?
heating and air conditioning.	空調といった機能が備わっています
in fact, i wanted to be a teacher who is trusted by students.	ほんとは 生徒に信頼される 教師になりたくて
hades is helping me to die.	彼ガ死ぬ手助ーブを ~~〟
i waited for none called setsuna	待ったなし刹那に呼ばれ
why are you doing this?	これで 幻を見せられるんですか?
why, of all things, did suguruchan feed a cat.	あー... なんだって よりによって 卓ちゃんがネコに...。
experience law enforcement like us	私たちと同じような 警察の関与を体験してもらうことができます
nothing personal.	わだかまりは ない
rose.	ローズ!
and if i see you flinch, you're out.	もしお前がだじろだら、脱落だ
give me my daughters back.	娘達を返して欲しい
why is it that when we had rotary phones	なぜ 電話機がダイヤル式だったり
something like that.	何か用が
umeko, my cuffs! here!	梅子! ワッパ! ここに!
did the janitor see anyone?	管理人は 誰か見た?
due to the war, that island had a lot of casualties;	大変な苦労をさせられましてな
no entourage today?	得意の大名行列はどうした
now we are discovering a more accurate vision	今 無意識 そして 深層心理について
it changes a lot.	よく染め直すの
thursday at the club, you're on.	クラブで木曜日 決まりだ
croupon.	クルーポン
is this how you wish to proceed? with clownish games?	こっけいなゲームで捜査を進めるのが 君のやり方か?
is the paper inside?	論文が、入ってるの?
they match perfectly.	完全に一致しました。
can i rinse out my mouth first? sorry.	口 ゆすいできていいっすか? すいません。
i'm gonna get my coat.	コート取って来る
i've, uh, felt the light of an angel and the hand of the devil.	天使の光を感じたと思った でも悪魔の手だったのです
i will not stay another minute with this idiot.	私はこの馬鹿ともう1分たりといっしょに いたくないわ
death merchants.	死の商人
i even stopped going to school to work on it.	学校に行ってる暇も惜しんで
being chased should probably cover it.	追われてるだけで充分
and i want to know what this symbol means.	それとシンボルも
but in the last 100 years, we lost half of that.	過去100年の間の消失面積が その半分を占めています
are you okay?	そのうえで 様子を見る。 いいな?
must be worth a fortune now.	これで価値が出る
oh, i forgot.	おお 忘れていた。
good morning!	おっはよー!
well, what would you have me do?	どうすれば?
it again. no doubt about it. see if you can stop	やってみましょう 同じです もう一回、やってみましょう
i gave a talk in new york a couple months after this	nyで講演をする機会があって
she only remembred many things suddenly.	ただ... 急に 色々 思い出してしまったようで。
i know that, dumbass	知ってるわよ
hi!	ただいま
you know, people say, oh, it's just natural.	ある人は言うでしょう "ああ、それは全く自然だよ"
and then they're going to pick up the rope	ロープを拾い上げて
those who want to work with food and those	料理を仕事にしたいって 思うとる部員も
were very worried...	随分 心配してた
radar kilo, 6195, position four.	レーダー・キロ、6195、地点4
you okay, kakeru?	使えないのは お前だ! カケル!
i said, i know, i know.	「分かってる 分かってるって」
even the freakin' coffee is perfect.	コーヒーまで 完璧だ
and even in brazil.	ブラジルであがりました
my name is ishihara, just like the edo governor.	都知事と同じ名前の 石原です。
you bewitched this poor man with black magic.	この貧しい男を黒魔術にかけた
about your specific circumstances.	特定の状況について
i'm sorry. that was out of line.	《すいません 言いすぎました》
wow, the view is amazing.	うわぁ すげえな
last time i went to kanazawa, i asked if i could make one.	この前 金沢 行ったときに 作らせてもらったの
the other is too big. costs twice as much to retool.	こっちは大きすぎて 改装費も2倍になる
this could be your story.	素性がわかるかも
listen, you fuckers, you screwheads.	よく聞け ボンクラども
as important as an advertising algorithm	サンプルサイズのデータでできた 広告表示アルゴリズムを
the poison and a map of the guardian's passage ways are gone.	ヌシの通り道の地図と毒薬がない
you need to stay with your family.	私達と一緒に
only if it will tell me where they are.	何処にいるか言ってくれる場合のみだ
come on, mom! pull, pull, pull, pull!	さあ、母さん 引いて引いて...
that doesn't sound like us.	俺達じゃない
if you draw me a cat, i'll make an ironon out of it.	ほな あんたがネコの絵 描いてくれたら
vente a comer mi hijo!	(「フアニート うちの息子食べに来な!」)
contact, twelve o'clock!	背後に敵
what did you do to shoutmon?!	え? タイキ 何をするつもりだ?
i intend to reimburse you.	金は返す
the idea coalesced around, let's make this a park	考えがまとまってきて 公園を作ろう
the meereens think they have a night market.	マリニーン人は自分が闇市を持っていると思ってるけど
where are you getting all this?	どこで このことを知ったの?
it's like i can't control it.	売れると思わない?
even though jody only returned to the ballet to connect with the girls, as she got closer she couldn't help but get excited at the prospect of becoming the swan queen.	ジョディがバレエを始めたのは彼女の為だった でも色々考えると興奮してきた スワン・クイーンの座
yes, she's alive.	有你这样的母亲的话 谁都会叛逆的
became a center	一般人からの様々な
invaded inv invit invited to the name day celebration for rylene florent on the first nigit	侵略 し し 招待 ライリーン・フローレントの命名日祝いへの招待状 最初のニジット?
the princess, enshrined in settling memories...	请不要忘记将笑容挂在唇边
i would, however, also like to take christine to the natural history museum on sundays after church.	クリスティンを 自然史博物館に 連れて行きたい 日曜の教会の後に
kinji, take a look under the driver's seat.	キンジ 運転席の下を見てくれ 車内にあるとしたら
this is the address of kitaoka's apartment.	北岡さんのアパート。
what are all those?	それは何?
he say, 'you've got to help me.' i agree. i agree.	""助けてくれるよな”って彼が言うから ""わかってる” 言ったの
use this to avoid the thing you hate.	嫌いな雨を避けるのに 使え
open the trunk, sir.	失礼、トランクを開けてください
and follow my orders.	俺の命令を?
turn two degrees to the left.	2度左へ 3ノット
doesn't get any more russian than the red peril here.	もうソ連人とは 言わない
well, i would like to go to bed now, however...	さて 僕はそろそろ眠りたいんだが
yabuki youko. she received the order for personnel reduction	矢吹洋子。 彼女は 人員削減の命令を受けて
what do you mean, an heir?	相続人か?
fujisaki yuusuke... you've got quite a past.	藤崎佑助 あんたの過去は壮絶だね。
ask her who came back for her when the mob had her on her back.	彼女が群衆に追い詰められた時 誰が駆けつけたかを
there's no place like home?	我が家にまさる所なし?
the same seeds i took from his safe.	俺が彼の金庫から取ったのがこれだ
i see a strong, confident, beautiful young lady.	強くて 自信に満ちた 美しい若い女性よ
and i think it's a lot better than they put it in an area	重要な分野に資金を投入しています
he had to be sure that it didn't blow up to the wrong people beforehand.	もし 誤作動すれば みんな吹っ飛んでしまう
hiking and taking samples	標本集めをしていました
he'll be out in less than an hour.	一時間もしないで出ました
i guess i thought that the dream space would be all about the visual but it's more about the feel of it.	思ったんだけど、夢って感覚よりも 感情によって左右されない?
uh, sorry!	ごめん!
you took flight 815 back 2 days ago.	2日前に815便に 乗っただろ
he lied.	嘘つきだ
and leave that girl permanently scarred?	そして 1人の少女に 一生癒えぬ傷を残すのか?
i should've recorded it...	録画しておけばよかった
ha ha ha ... i have not found it yet.	ハハハ...。 まだ見つかってないんだ。
that is all there ... i can not see maltai!	そ それが こっちもオールが... マルタイが見えない!
that the domestic agenda	国内の課題と国際的な課題は
but it's working.	とてもよく 働いてくれたから
have you not made up with kiryukun?	桐生くんとは仲直りしてないの
besides us, there are dozens of other battlefront members within the school.	戦線のメンバーはまだ何十人と校内で潜伏してるわ
brienne is a very capable warrior.	ブリエンは実力ある戦士だ
boazkesen september 1452 oh my.	ボアズケセン 1452年 9月
oh there's mommy. there she is.	ママがいる そこだ
and that we have unwittingly but willingly	そのシステムとは 私達が 無意識とはいえ自らの意思で
don't worry. i won't.	心配ない ちゃんと見てる
we didn't look here.	ここは見てない - 調べたさ
we can go actually and swim around on google earth	グーグルアースで海を自由に泳ぎ回って
and i'm going to finish up with a quote, maybe a little cheap shot	少しずるいやり方かもしれませんが
that's it! that's why!	だからって 大和に肩入れしてんじゃね~ぞ。
the town i hate.	大嫌いだった ドラマのない町
i wrote this statement	エリン・ルニオン:私はこの陳述を
cry like an old grandmother and not have my conscience bother me.	良心が痛まんように 泣きながらな
i appreciate your concern, john, but just as claire has made her choice	気にかけてくれてどうも ジョン だが クレアが彼女の 選択をしたのと同様に
because they've rebranded unemployment.	失業を再定義したのです
i don't think the good ones survive.	良い人が生き残るとは 限らんさ
what do you want from me, tess?	僕にどうして欲しい?
that's right. i was really looking forward to it, so i didn't sleep the night before.	夜が楽しみ ね ぽって
that was fast! he summoned another one!	早い もう1体召喚した。
how's madoka taking it?	わざわざこんな惑星まで来なくても済んだんだけどね
that picture, boy with apple, is priceless. understand?	「林檎を持った少年」の価値は 想像を絶するの、分かってる?
pretty sure they'll object to that.	納得しないだろう
wait a minute, i know this guy.	ちょっと待って こいつを知ってるぞ
oh... it's sacchan! it's rare to see you.	お~ さっちゃん! 珍しい。
i can not hear you stop doing it!	やめろっつってんのが 聞こえないのかよ!
we can't make meaning out of these enormous statistics.	これらの巨大な統計から意味を汲み取ることはできません
we're with the cbi, mr. porchetto.	我々は CBI 州警察です ポルチェットさん
if you press a keycard against your mobile phone for long enough, it corrupts the magnetic strip.	カードキーを 携帯に押し付けると
yup, no one saw me.	とばすぞ! うん!
are at risk, including those tomatopollinating bumblebees.	全ての美しい野生種が 危機に瀕しています
static 4, we are ready for take off.	離陸するわよ?
i've never felt better in my life.	こんな爽快な気分は 初めてだ
so what about that song?	何あの曲はどうですか?
as humanitarian aid workers	人道支援家として
we have just learned your arrival and can not pass up the opportunity.	お着きになったと聞いたので この機会を逃せません
i'm consulting my superiors.	上の人達に 色々おうかがいをたててたんだ
i have been planning this for almost two decades. it will work.	私は20年 これを計画してた
we're not selling.	スキラーは売らない。
thanks for the food!	ありがとう
but you can see in this picture	でも写真でわかる通り ―
you fucking traitor.	裏切り者だ
excuse me, i have a class now.	失礼 授業がありますんで。
you're fucked, man.	もういいだろ
what? you don't trust your subordinates at all.	はあ? 部下のこと信用してないですよね
your weapons...	武器を...
let's go.	会ってみましょう、ことみちゃん
gloria, luna and my sister came over, we reminisced about mayka.	グロリア、ルナ、妹が 来てくれた
his wife is lord oda's daughter	この者の嫁は 織田様の ご息女でしてな。
that's how kanbe was planning revenge	そうやって 自分を蹴落とした人間に
good timing, come and take a look.	ちょうどよかった まあ ちょっとこれ 見てちょうだいよ
in the last 20 years, it's really	これまでの20年間で私たちの生き方や
nobody move! this is a robbery!	誰も動くな!
now, please, please, settle down. now who here has a bank they would like us to rob?	Bブロックだ どこかな?
doctor's orders.	医者の命令だよ
but i wouldn't have you think that i don't like the place	しかし 私はこの右側も嫌いな訳ではありません
i double backed, like you taught me.	教えられたように 方向をごまかしてきた
invade their coasts	なぜ奴らの沿岸に逆侵攻して
you remembered?	覚えてたのか?
who is that? he's so cool!	ヤバス! 誰? かっこいい!
i felt ashamed, but mainly mainly, i felt powerless.	なぜ今 私がこの話をするかというと―
is the abu ghraib prison.	今のところありません
you're gonna talk to me now?	今お前が話しかけたのか?
danny is still alive.	ダニーが生きてた
yes my lord!	それほど仕事が欲しいなら...。 はっ!
what are you doing right now?	何をするんだ?
she's here.	彼女が...
if you do that, be more and more friends.	そんなんしたら ますます 友達でけへんで。
my line of business?	私の事業分野?
your elbow went into my arm muscle, mister. your elbow went into my arm muscle, mister.	"ひじがあたったよ"
and the one in front is quite normal.	前にいる子はまともに見えますが
sir.	サー こっちです
17 million books	国会図書館には1700万冊の本があります
you must understand. katsumoto pledged his sword... ... todefendtheemperor.	勝元は自らの刀を 天皇に預けた男だ
i was decorating for tomorrow.	君の旅立ち覚悟してたのに
joe, christ!	ジョー 最悪だ
how successful is it?	成功した年もあれば 失敗した年もある
with a half pint of vodka.	ウォッカ飲まされてな
the country is deserted and lawlessness prevails.	国はさびれ 無法地帯と化すなか 危険をかえりみない者達は
no, you were concerned, and you were kind of right.	君が疑うのは尤もだ
directly above	冥王星を 直接 照準に 収められれば
here! just like that.	へっ 私そんな別に...
you said that two things occurred to you.	もう一つは?
why can't we do what was done with northern italy?	イタリアの北地方で行われた事がなぜ私たちはできないのでしょう?
you know, i think the very best thing we can do	ジョン・ロンソン: 私の考える最善の策は
i guess i didn't have to worry.	しょうがないな。 うん?
so, what are you guys talking about?	何を話してるんだ?
and you really have to be able to withstand conditions	これらの条件をクリアして
the silly bastards.	アホ共め
or... he's mocking us.	もしくは僕達を
just promise me	約束してちょうだい
and couldn't understand why his son	彼は息子がワイアードに興味を抱く事など
hey, emanuel.	エマニュエル
so tonight, your doppy ex	その目を見て 考える ああ神よ しまった
farewell, gandalf.	さようなら、ガンダルフ
i have'th prepared myself in order to discuss our future arrangements.	2人のこれからについて 話し合う準備は 整ってありんす。
there's a collective phenomenon of positive feedback	正のフィードバックが重ねて起こり
amazing. that's right.	うぅ...。
to astronauts	何千マイルをも
the whole freaking world is a parking spot now.	マヒ状態で世界中が駐車場だ
you and the rest of your gang.	君と残りの友人に
we went back to tempt's room.	TEMPTの病室に戻りました
it's a feel the fear and do it anyway kind of thing.	不安を感じながらも どうにかやり遂げたというような感じです
we need to take on the risk of investing in vaccine development	リスクを承知で思い切って ワクチンの開発に投資し
who could object to such a partner? eh, darcy?	そうでしょう ダーシーさん
he's home!	帰ったわ!
appachan: i watch the world wake up every day.	私は毎日世界の目覚めを見る
okay, what you just heard, you can't tell anyone about it.	あの 今聞いた話は 絶対に口外しないように。 な?
not kidding... i saw the way you were looking at those sexbots.	本当に載せましたよ ロボットに興奮してたじゃないですか
get a plan together. execute it.	計画を作りそれを実行する。
yeah, and he collected it in genuine currency, not lous or food stamps.	食券とかじゃなくて ちゃんとしたお金でね
one event out of those 2,776	1度に3千人以上が 影響を受けたものさえ
he had a lot of ambition. i see.	やる気を示してくれた
that's because everything i see is lovely...	だって 目に入るもの全て素敵で...
eye injuries like yours are quite rare.	君みたいなケースは 珍しくてね
door's open.	きみ次第だ
ssu truly. okay....	さすがっす。 もう いいよ...。
we advise you that our preliminary findings indicate that your onboard 9000 computer is in error predicting the fault.	しかし 我々の予備調査によると―― 貴船の9000コンピュータが 障害予測を―― 誤った可能性がある
ha?	フン
uhhuh, but i learned my lesson. i'm going	でも目が覚めた だから...
a wish...	願い事って・・・
we need to find him right now.	彼を今すぐ見つけ出して
shh! i know what you... shh!	わかるけど 静かにしてくれ
with an extra added bonus. crucial, i might add.	追加報酬は必須よ
i don't have children.	私には子どもがいません
and the reconstruction process	戦後の復興処理が
and then when they get old, they haven't really developed a philosophy of life	歳をとっても人生の哲学もなく
i tried. what do you want from me?	望みは何だ!
that's multitouch, controlling a device	それは マルチタッチと呼ばれる―
something to drink.	飲み物です
to get to mars.	9ヶ月かかります
all right. all right.	脱げ!
today's lunch was good, too.	今日もおいしかった
the scylla and charibdis.	スキュラとクラディブス
was it moriyama?	はい ごめんなさい。 ええ... 森山?
i appreciate your interest in my wife's case, mr. jane, but what can you possibly do at this stage of the game?	ジェーンさん 妻の裁判に関心を持ってくれて ありがとう しかし 今の段階で あなたに何かできることがあるだろうか?
and i was documenting it.	私はこのことを記録に残していました
oh, jesus...	やめてよ
i know what i saw.	見た物くらい分る
you haven't got a chance, pete, but you can go out clean.	もうあの世へ行くんだ 吐いてしまえ
you'll need this.	これも要るな
looking good, strike a pose	助けて! 美神さーん!
hey, look, it's nothing yet, man, but i'm sure he'll hit me real soon, okay? you know, if i were in your situation everything you've done, every decision you've made...	確かに、すぐ連絡がくる 君と同じ あなたと同じような状況にいる
and then, we have to pay for our own exam fees.	ということは 検査費用は また自腹か~。
the pilot is feared dead, but his navigator is believed to have survived.	パイロットは既に死んでいると思われています しかし彼のナビゲータは生存しているもようです
then bring it to jack!	それで 「ジャック」に持ち込む。
this incident is targeted towards the older generation.	[テレビ]今回の事件は お年寄りを中心に騙すという
you need to trust me now.	今は私を信頼して
we decided, let's burn the 99 percent, the u238.	というのが Terrapowerのアイデアでした
you want a million dollars in your case. i want a million.	100万ドル欲しいと言いましたよね。 - 100万欲しいわ。
come on! let's get going!	うっしゃー盛り上げていこうぜぃ!
well, you are but...	そうだけど・・・
oliver.	オリバー!
do you remember seeing her around the subway platform?	地下鉄のホームで彼女を見たことを 憶えてるかい?
father?	父ちゃん? 父さん...。
case?	ケース?
sadly, my lord	残念ながら
locked in.	了解
is the case of race.	選挙の場面です
somebody... wait!	誰か来る 待って
and, so, dr. hayakawa gave you money	そこで 早川先生に金を渡して
you were testifying in a criminal case.	あなたは 刑事事件で証言していたの
i could only call her my cousin.	だから いとことしか言えなかった
hey, what are you e on. move the car.	車をどけて
additionally, alphonse is an empty suit of armor!	加えてアルフォンスは空っぽの鎧
your mother told me.	お母さんから聞いた
oh, good...	なんだ〜
but how would i do that?	でも どうやって?
fact is, it's gonna be a hell of a lot harder than standing here shooting at each other.	だがこうやって お互いに銃を向けて 立ち尽くすよりは 難しくないはずだ
worst guidance counselor ever.	最悪のカウンセラーね
get yourself together	頭を冷やしてから
but i believe that all the trials that we face... lead us to our purpose.	でも俺は直面する全ての困難は 目的へ導くものと信じている
i'm sorry for what i did.	さっきのことは、ごめんなさい ごめんなさい、あれは私じゃなかったの
i'll be sure to speak to principal celestia about it right away.	セレスティア校長に話してくるわ 今すぐにね
do not compound your failure this day by allowing our prize warship to fall.	宝物戦艦を陥落されて、 今日の失敗をさらに悪化しないで
fuck, you've been hit.	くそ 撃たれたか
miss watson and her partner there, mr. holmes, consult for the department.	ワトソンさんとパートナーのホームズ氏
officially.	そうなっています
it's out ticket to the rest of our lives, minus what i'm sending westmoreland's daughter.	少し、クーパーの娘に送るが 残りはこれからの人生のために
less blood... smaller and sharper!	血の量を少なく 鋭く
i don't know why you care anyway.	なぜ気にする? 昨日ハドソンさんを
i have to say that i think	私が思っていることを言わないといけませんが
nicole: no.	いいえ
of this inadequate japanese police force	唯一の刑事だ。
can you not just call her?	電話で聞けば?
what is this?	これが その波動コアです。
you dog of the church!	教会の犬め
so, eren...	だから エレン
their fate depends on their king.	彼らの宿命は彼らの王次第だ
and yoshizumi on top!	やめろよ! 更に ヨシズミ。
we are so dead. hey.	一巻の終わりだな
then what do you suggest, mr. strand?	それじゃどこがいいの ストランドさん?
i shall accompany you!	お供しま~す
i hope i can tell you good news next time.	今度会える時に 良い知らせがあればいいのだがな
this.	こっちじゃないの
emily cooper.	エミリー・クーパー
the pet evacuation and transportation standards act	ペット避難輸送基準法案を可決しました
left it on your desk.	なぜ私のデスクに?
erenchan, where are your color markers?	エレンちゃん カラーペンは?
your friends know what's wrong with him.	君の仲間は知ってるんだろ?
report when she's awake	彼女が目覚めたら報告を
how is that going, by the way?	ところで うまくいってる?
we're not here to start a war.	俺達は戦争を 起こしに来たわけじゃない
sakurako and ume, listen well	桜子もうめも よく聞いて
helps us get clear, engaged and aligned.	グループで明快な理解や 協力や 一致を得るために とても役に立つのです
and for me it's a symbolic picture	私にとって この写真は
seriously, im not hungry. what are you talking about?	マジ 腹 減ってないんで。 何を言ってんだよ。
how about a cow? moo.	牛は?
let me just be crystal clear about this.	はっきり言っておきます
in addition, these researchers found	さらに この研究者たちは
for many who grew up under civil war	内戦の中 育った多くの人々にとって
we're not even supposed to be doing this shit this close to worcester.	「オレ達が、ウースターの近くで、 こんなことしてるとは思いもしねぇだろ」
became a parttime employee at the child care center	「児童ケアセンター」の 嘱託として
all right. thanks. okay.	わかったわ ありがとう そうか わかったよ
oh, what were we...	ああ~!
there are no ordinary people, cassie.	[普通の人々なんて いませんよ キャシー]
liaison.	連絡官か
stein's fine.	スタインは大丈夫だ
well then	それって いつだろう? さてなあ。
i never gave you his name.	彼の名前は 話してないぞ
the killer is in the mural.	殺人犯は<壁画>の中にいる。
who were actively dying.	自身の死と向き合っていました。
if you'd like to come join us	よければ. .
where did you comes from?	あなたは、どこの出身ですか?
me too. i'm glad...	「僕もだよ」。 「うれしい...。
nope. although there were times	ないね。 まあ 遠慮してほしいなって
in 1994, you hired two bouncers to break the fingers of a musician who decided to, uh, switch labels.	1994年に警備員を 2人雇ってる レーベルを替えて ミュージシャンをデビューさせた
funeral crasher.	押しかけ参列なんて
i'm your new secondterm girlfriend, man aren't you supposed to be, like, impressing me still?	私は「第2候補の女」よ いいとこ見せる必要はないわ
! told me where she'd be !	♪ いつも ここにいるからと
fuck. he hung up.	何だ 切れたぞ
he insisted on talking to this bloody babadook thing all day.	恐しいババドックのことばかり。
come on! riki!	ほら! リキ!
all this stuff?	このバカげた事か?
go ahead, no one's sitting here.	どうぞ 空いてますから
approximate age...	およその年齢...
[boy] tommy's is full of holes...	トミーのは穴だらけで
he couldn't have gone far.	遠くには行けない
which mountain are those takenoko harvested from?	どこの山で 採れたんですか? そのタケノコ。
now or never.	今しかない
sweetie.	ああ、カルロス
i would there were no age between ten and	「13と20の間の年齢がなくなるか その間ずっと
now you can't use your hands!	これで両手は使えまい
hey, lemme go!	おい 離せよ!
you fucking wait out, pal.	お前こそ待機しろ
and perhaps to protect our knowledge and wisdom and skills	自分たちの情報・知恵・技術の
come on, come on, let's go!	(こっちだ)
we can't prosecute without a formal complaint, so the rest is up to you.	親告罪になりますから あとは ご本人次第です。
it's my job to get you through it. so you can be pissed off all you want.	お前の面倒をみるのは俺の仕事だ だから望む事に腹を立ててる
that is correct.	それは正しい
he would only take homeopathic medicine. he was a wonderful man.	自然療法のハーブを飲んでました
to be responsible doing my job as a receptionist.	責任持って 受付の仕事をしてきたつもりです
you should lose the puka shells, though.	あなたはしかし、 プカシェルを失うべきである。
eh! what? one day ago natsuko fell down today is not it! what?	えっ!?1時間前って 夏子が落ちたの今日じゃないの!?
what about next month's rent?	来月の家賃は
try it! try it! try it now!	やり続けてくれ!
which in turn causes less adaptability	それにより 順応性がなくなり
they're up for sale if you want them.	欲しけりゃ売ってもいいよ
incidentally, in regards to mishima kosuke's alibi	ちなみに 三島 耕介のアリバイだが
in order to show you how a big symphony orchestra is put together	どのように構成されるかを 示すため ベンジャミン・ブリテンは オーケストラの
polystyrene ceiling tiles	ポリスチレンの天井
i was uh... back in the 90's.	あー、90年代にね。
so, the check?	それで小切手は?
are you sure?	エヴァ・ザイゼル: あら 本当?
the thickness of a touchscreen glass	画面のガラスだけです
why would you say that?	なぜそう言える?
then what's it doing transporting human organs and blood?	人間の臓器で 一体何をしようというんだ?
i recommended staying on a while longer.	もう少し私が一緒にいた方がいいと勧めたの
you should go home and study for the exam.	《楓も晃太も遠回りになんだろ 早く帰って試験勉強しろよ》
have access to legal services	法的サービスを受けられるように
i mean, who are these people?	何者なの?
join the night's watch.	夜の番人に加われ
it interest you?	狩りをするのか?
so i had a date last night.	それで 昨夜はデートだったの
good for you.	よくやった
it's an alien species.	外来種ですね。 危険すぎます。 ボクらの手には負えませんよ。
the wind. i want the wind.	風が... 風が ほしい」。
no one on this ship would do anything like that!	ささやかながら 花を添えるものかと。
i got a new master to impress, and i'm betting bagging those two will do just that.	新しい主人の為に 二人を詰めて戻って 自分を売り込みたいんだ
for is piloting.	isの操縦の そりゃ助かる
my joon pyo and butterfly.	「私のジュンピョ 蝶」
we're going to pebble beach this year, and we're gonna get a trophy for that stand right there.	今年はペブルビーチしようとしている、 そして我々はつもりトロフィーを取得している そのために右が立っている。
yeah, i'm checking on a wire transfer.	入金の確認を
the first of many.	−※大勢の中の一人だ。
what's wrong with the par.	パー。 脚は どうしちゃったんだ?
ca: we need someone for.	クリス:では賛成の人
welcome back. avery, can i have a word with you in private?	ちょっと個人的な話がある
